display-name,publication,review-text,original-score-and-url,original-score-and-url 2
Josh Slater-Williams,Vague Visages,"The less said about Monica Bellucci’s part the better. Anyone from that quite large group of fans wishing for years for Bellucci to be in a Bond film will surely be furious at all she’s given to do here, and how little of it there is.",|,"Nov 15, 2023"
Jordan Brooks,Vague Visages,"No longer tasked with putting the missing pieces of action, intrigue and effects together in our heads, the artifice of Bond is gone forever — and with it, any room for playful interpretation.",|,"Aug 1, 2023"
Manuel São Bento,MSB Reviews,"One of the best movies of the franchise is buried somewhere under the messy screenplay, but what can be found at the surface has much to appreciate.","| Original Score: B
                
                |","Jul 25, 2023"
Keith Garlington,Keith & the Movies,"I liked the movie, and I’m anxious to give it another look. But with this cast and this pedigree I can’t help but be disappointed with what we get.","| Original Score: 3/5
                
                |","Aug 25, 2022"
Brian Eggert,Deep Focus Review,"Never mind the running time or overabundance of story; the film never bores, and the audience never loses interest. It simply isn't the wowing, visually illustrious film that its predecessor was.","| Original Score: 3/4
                
                |","Apr 25, 2022"
Jake Tropila,Film Inquiry,"Spectre is an immensely enjoyable Bond outing, that grows stronger with each passing viewing.",|,"Oct 9, 2021"
Therese Lacson,Nerdophiles,"Daniel Craig's Bond story feels a little too sugary sweet for our beloved 007. Leave the happily ever afters for the fairytales, we came here for a movie about a spy.","| Original Score: 3.5/5
                
                |","Oct 9, 2021"
Danielle Solzman,Solzy at the Movies,Spectre never strays too far from the franchise formula but this action film is still a thrilling ride.,|,"Sep 30, 2021"
David Hogan,hoganreviews.co.uk,"Spectre felt like loads of small ideas barely sewn together and a hasty attempt to make some sort of ""ultimate villain"" that doesn't work at all. Better than QoS at least...","| Original Score: 2/5
                
                |","Sep 29, 2021"
Matt Brunson,Film Frenzy,An engaging two hours are then run into the ground for a wince-inducing final half-hour of unfortunate developments.,"| Original Score: 2.5/4
                
                |","Sep 25, 2021"
Olly Richards,NME (New Musical Express),"How much you enjoy this may depend on how you feel about Bond in general. If you miss the old days, with the world in elaborate peril and everything done with a big wink, this is a solid example of that.","| Original Score: 3/5
                
                |","Jun 8, 2021"
Tony Black,Cultural Conversation,"Spectre, despite looking for all the world like a regressive throwback to Bond-eras passed, could end up pointing the way forward more acutely than we ever realised.","| Original Score: 4/5
                
                |","Feb 14, 2021"
Wesley Lovell,Cinema Sight,"Daniel Craig has been a satisfying James Bond, but the films he's been put into have been, on average, far weaker than anything from the Connery, Moore, or Brosnan eras with this likely being the worst Craig film to date.","| Original Score: 2/4
                
                |","Dec 16, 2020"
Mike Massie,Gone With The Twins,"Great attention is given to making the CG disappear in favor of practical effects and authentic destruction, bringing back the amusement of older 007 adventures.","| Original Score: 6/10
                
                |","Dec 4, 2020"
Kelechi Ehenulo,Confessions From A Geek Mind,It's certainly not the worst Bond film in the world but it definitely misses the mark of being one of the best.,"| Original Score: 2.5/5
                
                |","Jul 17, 2020"
Damond Fudge,"KCCI (Des Moines, IA)","Like its predecessor, this is a densely-plotted thriller punctuated by exciting action sequences...The plot does get a little ahead of itself a few times, but it's pretty quick to recover and get things back on track.",|,"Jul 14, 2020"
Brent McKnight,The Last Thing I See,"Though it's a paint-by-numbers ""James Bond movie,"" Spectre is still a James Bond movie, and as such, it's a pretty good time.","| Original Score: B-
                
                |","Jul 3, 2020"
Ricardo Gallegos,Pólvora,"Despite its flaws, Spectre is a very engaging and entertaining film. [Full review in Spanish]",|,"Jun 28, 2020"
Yasser Medina,Cinefilia,"It feels different with the visual style and the splendid music, but at the same time there is an imbalance that operates with the archaic clichés of 007 that worn the franchise so much and that don't fit with Craig's Bond. [Full review in Spanish]","| Original Score: 6/10
                
                |","Jun 26, 2020"
Avaryl Halley,Movie Bitches,"If you like Bond movies, you'll like it.",|,"Apr 29, 2020"
Andrew Galdi,Movie Bitches,I thought it was really fun.,|,"Apr 29, 2020"
Jim Ross,TAKE ONE Magazine,"If SKYFALL was the film to make old-school Bond retro and acceptable rather than passe and anachronistic, then SPECTRE embraces it wholeheartedly. As entertaining as SKYFALL was (and SPECTRE is at times), it seems you reap what you sow.",|,"Feb 13, 2020"
Tim Brennan,About Boulder,"Craig has one last chance to beat the odds with the 25th adventure. The phrase, ""James Bond Will Return"" is at the end of the credits. Let's hope it's a promise and not a threat.",|,"Feb 13, 2020"
Megan Sunday,The Spool,"The Mendes Bonds are beautiful, thrilling, funny, and sad. But Spectre takes on too much for ultimately too little return.",|,"Jan 16, 2020"
Chris McCoy,Memphis Flyer,"The producers have put $300 million into this Bond-stravaganza, so they need to feel like they're getting their money's worth. You probably will, too.",|,"Jan 10, 2020"
Ard Vijn,ScreenAnarchy,"Spectre, however, falls well short of that high-mark, and as great as some of its moments are, it might actually be the weakest of the Daniel Craig Bond movies.",|,"Jan 10, 2020"
Ryan Syrek,"The Reader (Omaha, NE)","Spectre's entire problem harkens back to that long-grieved desire about both having and eating cake. A film can be gritty and brutal or campy and silly. If a movie is all of those things, it leaves you shaken and not stirred.","| Original Score: C-
                
                |","Jul 9, 2019"
Mattie Lucas,"The Dispatch (Lexington, NC)","A strange kind of hybrid that isn't fully realistic, or unrealistic enough to be pure, vintage Bond.","| Original Score: 3/4
                
                |","Jul 5, 2019"
Daniel Orton,One Room With A View,Action-packed and witty: a classic British spy caper...,"| Original Score: 4/5
                
                |","Apr 18, 2019"
Rachel Wagner,rachelsreviews.net,"It's an old school Bond movie with some good action, some silly banter and beautiful women.","| Original Score: C+
                
                |","Apr 18, 2019"
Richard Trenholm,CNET,"Venturing into overwrought psychological waters, the film stretches out a thin story to breaking point.",|,"Apr 16, 2019"
Mae Abdulbaki,Movies with Mae,"Spectre can certainly be enjoyed on its own, but it does do a good job of tying together all the pieces left behind in the previous three films. An entertaining trip into the world of 007, even if it isn't as good as its predecessor.","| Original Score: 3.5/5
                
                |","Apr 10, 2019"
Preston Barta,Fresh Fiction,"Although often absorbing and on par with the quality of spectacle we've come to expect from our tuxedoed hero, SPECTRE proves its predecessor a tough act to follow and finds itself caught in its own tentacles.","| Original Score: C-
                
                |","Mar 30, 2019"
Bernard Boo,Way Too Indie,"If Skyfall was the pinnacle of Craig's run as Bond, Spectre signals a slight downturn and a need for the series to break new ground and redefine who James Bond is for the next generation.","| Original Score: 7/10
                
                |","Feb 28, 2019"
Micheal Compton,Bowling Green Daily News,"Spectre starts to run out of steam late, with the rousing start long a memory by the time the final scene arrives. Still, there is enough here to keep Bond fans satisfied.","| Original Score: B
                
                |","Jan 17, 2019"
Namrata Joshi,The Hindu,Perhaps it's my own fatigue with the Bond franchise and the knowledge of exactly where it will go and how things will turn out that makes the old-fashioned and nicely campy Spectre not as gripping a ride as I would have wanted it to be.,|,"Jan 2, 2019"
Marisa Carpico,The Pop Break,"Spectre is perhaps not as accessible to the average viewer, but it might be more rewarding as an entry in not just the franchise, but Daniel Craig's time in the role.","| Original Score: 7.5/10
                
                |","Dec 25, 2018"
PJ Nabarro,Patrick Nabarro,"Betrays the series' increasingly transparent three-yearly exercise in blandly aspirational, deluxe brand management par excellence.","| Original Score: 2/5
                
                |","Nov 10, 2018"
Frank Ochieng,SF Crowsnest,Spectre has its up and down moments and never is quite sure about standing alone as an independent Bond story or being dismissed as a pit stop for 007-related flashbacks and reference bits ode to yesteryear's glory.,"| Original Score: 2.5/4
                
                |","Nov 9, 2018"
Niall Browne,Movies in Focus,Daniel Craig's tenure as James Bond has seen Ian Fleming's iconic spy stripped back to basics and rebuilt from the ground-up over the course of four movies.,"| Original Score: 4/5
                
                |","Oct 30, 2018"
Aaron Peterson,The Hollywood Outsider,"[Craig's] skillfully wrapped up and delivered [Spectre] at my feet just in time for Christmas. Sure, there might be a few too many layers of paper and way too much tape, but it's the gift I wanted regardless.","| Original Score: 7.5/10
                
                |","Oct 25, 2018"
Anne Brodie,What She Said,"Regarding Bond's and apparently Craig's sense of ennui, and stated disdain for the work, it may be time to bring in fresh blood and passion and say goodbye to our gritty anti-hero/hero. Let the casting games begin.","| Original Score: 3.5/5
                
                |","Aug 30, 2018"
Pat Padua,DCist,This one falls short. Chalk it up to the banality of evil.,|,"Aug 29, 2018"
Alison Rowat,The Herald (Scotland),"There will be another 007; there is too much left in this pot of gold franchise for it to be otherwise. In the meantime, enjoy this Craig-fuelled thrill ride.","| Original Score: 4/5
                
                |","Aug 23, 2018"
Pamela Powell,"Daily Journal (Kankakee, IL)",There's not enough action and the story is much too simple. With little substantive dialogue you will find your mind wandering and thinking about details like wardrobe.,"| Original Score: 2/4
                
                |","Aug 22, 2018"
Oggs Cruz,Rappler,The film clumsily ties the 3 previous films' gritty escapades in this current adventure that has Bond succumbing to genre-specific tropes whose culmination can be smelled from a mile away.,|,"May 1, 2018"
Megan Basham,WORLD,"At times, Spectre becomes so comically convoluted, you half expect sharks with lasers on their heads to come swimming out of the underground river.",|,"Mar 16, 2018"
Rick Marshall,Digital Trends,Daniel Craig's latest (and possibly last) adventure as secret agent James Bond manages to be both different and familiar as 007 takes on the mysterious criminal organization threatening everything he holds dear.,|,"Feb 7, 2018"
Uri Klein,Haaretz,"Spectre is not boring to watch. The evolving character of James Bond is interesting, and the series always offers us the pleasure of getting swept up in his global adventures. In this sense, the latest installment does what it is supposed to do.",|,"Jan 11, 2018"
Robert Kojder,Flickering Myth,"Some have said that the official theme song by Sam Smith is a grower. Well, I found Spectre highly disappointing and mediocre, but who knows, maybe it too is a grower.","| Original Score: 2/5
                
                |","Dec 4, 2017"
Srijana Mitra Das,The Times of India,"A few moans aside, Spectre's action still shakes and stirs, leaving you loving its oak and leather, champagne - and dynamite.","| Original Score: 3.5/5
                
                |","Nov 9, 2017"
Matthew Bond,The Mail on Sunday (UK),"In their ambitious efforts to tie all four of Craig's Bond films together, screenplay writers John Logan, Neal Purvis and Robert Wade seem to have tied themselves up in over-elaborate knots.","| Original Score: 3/5
                
                |","Oct 26, 2017"
Sarah Marrs,Lainey Gossip,"The action is atrocious, and after the brass-balled sequences of Rogue Nation, Spectre feels especially flat.",|,"Oct 16, 2017"
M. Faust,The Public (Buffalo),"On its own merits, Spectre is a distinct step back from Skyfall. Too much of it feels repetitive.",|,"Oct 10, 2017"
Anwen Crawford,The Monthly (Australia),"Spectre is an elaborate justification for the relevance of the gun-toting, martini-drinking spy in a post-Snowden world.",|,"Sep 12, 2017"
Brooke Corso,"The Monitor (McAllen, TX)","Spectre revels in its gadgetry and action and steadfastly defends its right to be old-school, even to the point of ridiculousness.","| Original Score: C+
                
                |","Aug 16, 2017"
Dan Webster,Spokesman-Review (Washington),Give us traditional wink-wink Bond or give us the new seriousness. This hybrid version feels neither shaken nor stirred.,|,"Aug 16, 2017"
Alex Heeney,Seventh Row,"Spending a couple of hours with impeccably dressed (even for the Bond franchise), amazingly talented, and utterly gorgeous stars doing stagy acting is a fine way to pass an evening.",|,"Aug 14, 2017"
Philip Kollar,Polygon,"For all the great work of everyone involved, they can only do so much to lift up some painfully average base material.",|,"Jun 1, 2017"
Phil Nobile Jr.,Birth.Movies.Death.,"Each 007 actor's fourth entry has been a bloated, sometimes wrongheaded collection of 'greatest hits' Bond moments, and it is with great regret we must report the phenomenon is alive and unwell in Spectre.",|,"Apr 1, 2017"
Rain Jokinen,SFist,"While connecting all the Craig Bond films together in this (possibly final) entry may seem like a good idea, the result is way too confusing, and in some ways, just plain silly.",|,"Mar 23, 2017"
Alexander Miller,Film Inquiry,"Spectre is a decent Bond film, and it retains the qualities of what we expect from the series, but it's not on the level of greatness we expected given the previous films.",|,"Dec 6, 2016"
Sean Axmaker,Seanax.com,"Fifty years later, it seems like Bond is now playing catch up with the superhero movies.",|,"Oct 28, 2016"
Rebecca Pahle,Pajiba,"Gritty, grimdark Bond may have been novel when Casino Royale came out and the franchise was shrugging off the spectre (sorry) of the silly '90s, but now all that self-seriousness is dated and tiring.",|,"Sep 21, 2016"
Sara Michelle Fetters,MovieFreak.com,"It is a tired retread that offers little new or original, taking 007 to the one place he's arguably never been before: irrelevance.","| Original Score: 2/4
                
                |","Aug 22, 2016"
Harry Guerin,RTÉ (Ireland),"SPECTRE doesn't quite measure up, but it's still a good night out.","| Original Score: 3.5/5
                
                |","Jul 19, 2016"
Sonny Bunch,Washington Free Beacon,[Daniel Craig's] latest adventure feels more like an homage to Bond's past than a continuation of his recent hot streak.,"| Original Score: 2/4
                
                |","Jul 14, 2016"
Max Weiss,Baltimore Magazine,"Daniel Craig recently said that he'd rather ""kill himself"" than do another Bond film -- and in Spectre, his misery shows.","| Original Score: 2/4
                
                |","Jun 12, 2016"
Tim Brayton,Antagony & Ecstasy,"For large portions of the middle, this is the most that a Bond film has felt like a Bond film since Pierce Brosnan retired.","| Original Score: 6/10
                
                |","Jun 5, 2016"
Mark Jackson,Epoch Times,"The 24 Bond films sugarcoat a profession that really boils down to a whole lot of breaking-and-entering, snooping, and cold-blooded murder. This one's still decent though.","| Original Score: 3/5
                
                |","May 26, 2016"
Noah Gittell,Washington City Paper,"It will surely be catnip for the hardcore fans, although younger viewers may find it too narratively clunky and self-referential to be involving.",|,"May 20, 2016"
Kong Rithdee,Bangkok Post,"What we have and what we enjoy, is Craig's tough charm, Christoph Waltz's slick villainy, Lea Seydoux' slinky beauty, Ralph Fiennes' earnest M and Ben Whishaw as the hipsterish Q, all set in bravura set pieces, exotic locales and kinetic chase sequences.",|,"May 10, 2016"
Jason Bailey,Flavorwire,"'Spectre' isn't the best of these films, but it may well be the most thought-provoking, because there's always something fascinating about art at war with itself.",|,"May 3, 2016"
Russell Baillie,New Zealand Herald,"For a little too much of Spectre, this does feel like the same old drill. It's certainly entertaining for being just that. But a lowering of the bar after Skyfall.","| Original Score: 3.5/5
                
                |","Apr 28, 2016"
J. Olson,Cinemixtape,"Just nine years after the shot of life that was ""Casino Royale,"" it feels like it's time again to start over. For shame, James.","| Original Score: 2.5/5
                
                |","Apr 17, 2016"
Joseph Walsh,CineVue,"Ian Fleming's most famous character feels tired, dated and out of touch.","| Original Score: 2/5
                
                |","Apr 7, 2016"
James Mottram,South China Morning Post,"The opening sequence, recreating the Day of the Dead festival in Mexico City as 007 grapples with a target in a helicopter, is worth the ticket price alone.","| Original Score: 4/5
                
                |","Apr 6, 2016"
Marija Djurovic,Cairo360,"Action-packed, exciting though perhaps a little wobbly in terms of story, not everything gels for Spectre, but there's still plenty of action and charming wit to satisfy fans.","| Original Score: 3.5/5
                
                |","Apr 1, 2016"
J.C. Maçek III,PopMatters,"Spectre is both modern and cutting edge as well as classic, vintage James Bond.","| Original Score: 7/10
                
                |","Mar 29, 2016"
Bill Newcott,AARP Movies for Grownups,"In their second 007 collaboration, Mendes and Craig lighten the tone considerably. Here at last, we sense, the two are actually having fun with a franchise that originally found success, after all, as equal parts adventure, romance and spoof.","| Original Score: 4 of 5
                
                |","Mar 26, 2016"
Ilan Preskovsky,Channel24 (South Africa),"Spectre is very much a good James Bond film with plenty to recommend it. Daniel Craig, in particular, stands out from a frankly ludicrously good cast.","| Original Score: 3/5
                
                |","Mar 8, 2016"
Rafael Rosales Santos,Konexión (MX),"A film best enjoyed in theaters with your family, and you'll maybe have a good time, but those looking for more than popcorn entertainment should stay away. [Full Review in Spanish]","| Original Score: 6.5/10
                
                |","Mar 2, 2016"
Theresa Smith,Independent Online (South Africa),Craig has stripped down and rebuilt the character and the films will never be the same again.,"Full Review
                
                
                    | Original Score: 3/5
                
                |","Mar 2, 2016"
Jordan Raup,The Film Stage,A fairly muddled entry into the Bond canon.,"| Original Score: B-
                
                |","Feb 20, 2016"
Jeff Beck,The Blu Spot,"With a perfect blend of a compelling narrative and breathtaking action sequences, Spectre marks a return to greatness for the James Bond franchise, whose past two entries had struggled to find the right mix of these two vital elements.","| Original Score: 4/5
                
                |","Feb 10, 2016"
Georgia Morgan,Liverpool Echo,"Spectre features all you would expect from a great Bond film: amazing gadgets, exotic locations, stunts, a new Aston Martin and a sprinkling of humour.","| Original Score: 9/10
                
                |","Dec 30, 2015"
David Blaustein,ABC News Radio,"Essentially a well-acted Fast and Furious movie, with more British accents. It's good but not great.","| Original Score: 3.5/5
                
                |","Dec 30, 2015"
Eric Melin,Lawrence.com,"Most of the film plays like a game of Connect Four, piling up and grouping together characters and schemes from Craig's last three films in vaguely related ways, in the hopes that the connections to Bond's past will bring them some emotional heft.","| Original Score: 2/4
                
                |","Dec 13, 2015"
Walter Chaw,Film Freak Central,"plotting is convoluted, maybe even tortured, though I do wonder if all its conspiracies and turns don't constitute a MacGuffin.","| Original Score: 3/4
                
                |","Dec 10, 2015"
Jyoti Sharma Bawa,Hindustan Times,"For those who are going to compare it to Skyfall, this simply isn't as good. There is neither the emotional connect nor the sweet melancholy that inhabited the last film, but it is a joyous ride nonetheless.","| Original Score: 3/5
                
                |","Dec 7, 2015"
Nandini Ramnath,Scroll.in,"In Spectre, Mendes translates ""pleasure"" to mean business as usual. Skyfall suggested that the Bond galaxy was seeking a new orbit, but Spectre drags it right back to base.",|,"Dec 7, 2015"
Beth Accomando,KPBS.org,"It's a solid, serious spy film that still has a playful glint in its eye.",|,"Dec 7, 2015"
Bilge Ebiri,Nashville Scene,"On some level, Spectre is a betrayal of the More Serious Bond promised in Casino Royale. But it's also the first Bond film in a long time that actually lets you have fun with it.",|,"Dec 7, 2015"
Adam Nayman,Reverse Shot,"Instead of propelling Spectre over the top where it belongs, Waltz instead becomes its unhappy avatar, the thinly grinning face of sadly diminished returns.",|,"Dec 7, 2015"
Michael A. Smith,MediaMikes,That's right. In a film that feels about 20 minutes too long you don't get to the money shot for almost two hours! And with that much time to kill you may find yourself dreaming of a few martinis - be they shaken or stirred!,"| Original Score: 3.5/5
                
                |","Dec 6, 2015"
Nicolás Ruiz,Código espagueti,A film that takes from the classic bond movies but lacks a fundamental element for it to work: a time period. [Full review in Spanish],"| Original Score: 6/10
                
                |","Dec 3, 2015"
Violet LeVoit,AllMovie,"Spectre dances in the gate like an antsy thoroughbred from its very first frames, as if it just can't wait to be a James Bond film.","| Original Score: 4.5/5
                
                |","Dec 3, 2015"
James Kendrick,Q Network Film Desk,"feels slightly disjointed, as if all the parts aren't quite lining up and the progression of action that is supposed to build emotionally instead feels more like little more than a series of plot points.","| Original Score: 2.5/4
                
                |","Dec 1, 2015"
Linda Cook,"Quad City Times (Davenport, IA)","It's the end of an era, but not the end of James Bond.","| Original Score: 3/4
                
                |","Nov 27, 2015"
Rich Cline,Contactmusic.com,"For his latest adventure, James Bond mixes the personal drama of Skyfall with the vintage globe-hopping action of the previous 23 movies.","| Original Score: 4/5
                
                |","Nov 24, 2015"
Glenn Lovell,CinemaDope,... feels like a Best of Bond compilation ... Bluenoses who once complained of Bond's indiscriminate bed-hopping need not worry. It's all Craig can do to suppress a yawn mid-seduction.,"| Original Score: 3/4
                
                |","Nov 22, 2015"
Ken Hanke,"Mountain Xpress (Asheville, NC)","Either a return to form, a winking homage to the whole series, or a dumbing down of the angsty, introspective Bond of the Daniel Craig era. Choose up sides.","| Original Score: 4/5
                
                |","Nov 22, 2015"
Robert Roten,Laramie Movie Scope,"Maybe there is some evolution to the Bond character in this movie from the old low-brow misogynistic, testosterone-fueled Bond of the past into something more rounded, grounded and thoughtful.","| Original Score: B
                
                |","Nov 18, 2015"
Sean Burns,Spliced Personality,"Probably the lousiest Bond picture since the Roger Moore era, but I'll be damned if I'm gonna watch those Brosnan blunders again to make sure.",|,"Nov 18, 2015"
David 'Mad Dog' Bradley,Rip It Up,"While there are seriously blockbuster-friendly action setpieces aplenty here and a cast that can actually act, there's just not the personal punch of Skyfall here.","Full Review
                
                
                    | Original Score: 3/5
                
                |","Nov 18, 2015"
Blake Howard,Graffiti With Punctuation,Spectre is the collision of everything we love about Craig's contribution to the character and the all 23 official Bonds preceding it.,"| Original Score: 4.5/5
                
                |","Nov 18, 2015"
Sebastian Zavala Kahn,Cinencuentro,Spectre is entertaining enough that it doesn't harm the franchise. [Full Review in Spanish],|,"Nov 17, 2015"
Richard von Busack,MetroActive,"Rich with style....Waltz is a sterling Blofeld, the living embodiment of the eye that never sleeps, the ear that hears all.","| Original Score: 4/5
                
                |","Nov 17, 2015"
Witney Seibold,Legion of Leia at Vital Thrills,"I'd relate more of the story, but why bother? We've been here before, but with more excitement, and less up-its-own-*** mythmaking.",|,"Nov 17, 2015"
David N. Butterworth,La Movie Boeuf,"Jolly, old-school Bond, if a tad low in ""Spectre"" gadgets.","| Original Score: 2.5/4
                
                |","Nov 15, 2015"
Diva Velez,TheDivaReview.com,"A fun ride and worth seeing on big screen,  Spectre doesn't linger in the mind after leaving the theatre. An oddly hollow script, increasingly rote action and staccato pacing keep it from being the engrossing, exhilarating thrill that Skyfall was.","| Original Score: 3.5/5
                
                |","Nov 15, 2015"
Luke Buckmaster,The Daily Review/Crikey,"In this era of Daniel dagger-eyes Craig, who seems biologically incompatible with camp entertainment, the hero escaping via exploding wristwatch or ejector seat feels not just quaint but lazy.",|,"Nov 14, 2015"
Daniel Krauze,El Financiero,"Spectre opens with an amazing sequence, unfortunatelly, the movie never regains that level of entertainment after that. [Full review in Spanish]",|,"Nov 13, 2015"
Jim Lane,Sacramento News & Review,"Saving the day (well, more or less) are the assets: Craig and Fiennes (naturally), Lea Seydoux as a particularly appealing Bond girl, and Christoph Waltz, who was born to play a Bond villain.","| Original Score: 3/5
                
                |","Nov 13, 2015"
Bob Grimm,Reno News and Review,"I don't need to know everything about James Bond and his upbringing. A little depth is fine, but this one goes too far. Just blow things up.","| Original Score: 2.25/5
                
                |","Nov 13, 2015"
Susan Granger,SSG Syndicate,"An enervating fatigue has set in, taking the humor and fun out of the franchise - leaving this as sinister, sadistic, escapist entertainment that's neither shaken nor stirring.","| Original Score: 6/10
                
                |","Nov 13, 2015"
Christopher Lawrence,Las Vegas Review-Journal,"[Specte] plods along ground so familiar, it's easy to see how Daniel Craig could have grown tired of playing James Bond.",|,"Nov 13, 2015"
Jessica Gibson,Christianity Today,For my limited experience with Bond I got what I wanted from Spectre and what I think the film wanted me to get: I had a lot of fun.,"| Original Score: 2.5/4
                
                |","Nov 13, 2015"
Greg Maki,"Star-Democrat (Easton, MD)",... Entertains even at its fails to reconcile its disparate goals. It just feels like a missed opportunity for something special.,"| Original Score: B
                
                |","Nov 13, 2015"
Rob Hunter,Film School Rejects,"What starts as a fast and loose adventure begins to creak and groan as it tries to tie everything together with a weak, vengeance-colored bow.",|,"Nov 12, 2015"
Joe Gross,Austin American-Statesman,"At nearly 2 1/2 hours, what should be epic (this is the reintroduction of Spectre into the Bond mythos, for Fleming's sake!) just seems interminable.","| Original Score: C
                
                |","Nov 12, 2015"
